MAKE,MODEL,GRADE,CHASSIS NO,STOCK_ID,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL
MERCEDEZ BENZ,GLE450,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02800,02800,BLACK,,3000,89000,201910.0,JAPAN,0,,2019,MERCEDEZ BENZ GLE450
MERCEDEZ BENZ,A180,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",43120,43120,BLACK,,1300,36997,201912.0,JAPAN,0,,2019,MERCEDEZ BENZ A180
TOYOTA,HARRIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",86051,86051,PEARL,,2000,104284,201909.0,JAPAN,0,,2019,TOYOTA HARRIER
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",63613,63613,PEARL,,3300,17594,202308.0,JAPAN,0,,2023,TOYOTA LANDCRUSIER
TOYOTA,PRADO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",15063,15063,PEARL,,2700,66224,202008.0,JAPAN,0,,2020,TOYOTA PRADO
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",61568,61568,BLACK,,3300,18590,202308.0,JAPAN,0,,2023,TOYOTA LANDCRUSIER
SUBARU,FORESTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02773,02773,PEARL,,2500,108919,201901.0,JAPAN,0,,2019,SUBARU FORESTER
TOYOTA,PRADO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",98949,98949,PEARL,,2700,43962,201903.0,JAPAN,0,,2019,TOYOTA PRADO
TOYOTA,PRADO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",00811,00811,BLACK,,2700,56132,201906.0,JAPAN,0,,2019,TOYOTA PRADO
TOYOTA,HILUX,N/A,11326,11326,BLACK,,2400,89996,201906.0,JAPAN,0,,2019,TOYOTA HILUX
TOYOTA,RAIZE,N/A,67127,67127,WINE,,1000,37897,202008.0,JAPAN,0,,2020,TOYOTA RAIZE
TOYOTA,RAIZE,N/A,00330,00330,BLUE,,1000,77517,201911.0,JAPAN,0,,2019,TOYOTA RAIZE
BMW,XM,N/A,39323,39323,WHITE,,4400,21600,202309.0,JAPAN,0,,2023,BMW XM
TOYOTA,AXIO,N/A,67797,67797,PEARL,,1500,37924,201901.0,JAPAN,0,,2019,TOYOTA AXIO
VOLKSWAGEN,T-ROC,N/A,68154,68154,WHITE,,2000,128674,202102.0,JAPAN,0,,2021,VOLKSWAGEN T-ROC
NISSAN,NV200,N/A,08424,08424,WHITE,,1600,182860,202012.0,JAPAN,0,,2020,NISSAN NV200
MERCEDEZ BENZ,GLE400,N/A,49347,49347,BLACK,,3000,86683,201910.0,JAPAN,0,,2019,MERCEDEZ BENZ GLE400
NISSAN,NOTE,N/A,24328,24328,BLACK,,1200,98104,201906.0,JAPAN,0,,2019,NISSAN NOTE
NISSAN,CARAVAN,N/A,09353,09353,SILVER,,2500,200251,201903.0,JAPAN,0,,2019,NISSAN CARAVAN
SUZUKI,SWIFT,N/A,00862,00862,SILVER,,1200,106107,202012.0,JAPAN,0,,2020,SUZUKI SWIFT
TOYOTA,PROBOX,N/A,23984,23984,WHITE,,1500,136038,201903.0,JAPAN,0,,2019,TOYOTA PROBOX
BMW,320I,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",37897,37897,PEARL,,2000,48818,201908.0,JAPAN,0,,2019,BMW 320I
TOYOTA,LITEACE,N/A,29427,29427,WHITE,,1500,59132,201911.0,JAPAN,0,,2019,TOYOTA LITEACE
TOYOTA,HIACE,N/A,08028,08028,WHITE,,2800,229873,201909.0,JAPAN,0,,2019,TOYOTA HIACE
TOYOTA,PROBOX,N/A,52958,52958,WHITE,,1500,174036,202011.0,JAPAN,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,45476,45476,SILVER,,1500,144053,202006.0,JAPAN,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,14180,14180,WHITE,,1500,176466,201912.0,JAPAN,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,02421,02421,WHITE,,1500,120127,201903.0,JAPAN,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,02737,02737,WHITE,,1500,104282,201903.0,JAPAN,0,,2019,TOYOTA PROBOX
TOYOTA,PROBOX,N/A,53305,53305,WHITE,,1500,36183,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
NISSAN,JUKE,N/A,02308,02308,BLACK,,1500,60380,201903.0,JAPAN,0,,2019,NISSAN JUKE
BMW,M340i,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",76362,76362,BLACK,,3000,61053,202003.0,JAPAN,0,,2020,BMW M340i
TOYOTA,PROBOX,N/A,52433,52433,WHITE,,1500,133755,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
MAZDA,CX3,N/A,04583,04583,BLUE,,1500,81367,202012.0,JAPAN,0,,2020,MAZDA CX3
TOYOTA,PASSO,N/A,46964,46964,BLACK,,1000,69397,201909.0,JAPAN,0,,2019,TOYOTA PASSO
MAZDA,DEMIO,N/A,13376,13376,BLUE,,1500,122700,201902.0,JAPAN,0,,2019,MAZDA DEMIO
TOYOTA,PASSO,N/A,45236,45236,PEARL,,1000,54152,201908.0,JAPAN,0,,2019,TOYOTA PASSO
TOYOTA,RAIZE,N/A,45423,45423,PEARL,,1000,116250,202005.0,JAPAN,0,,2020,TOYOTA RAIZE
TOYOTA,RAIZE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",04975,04975,BLUE,,1000,73864,202012.0,JAPAN,0,,2020,TOYOTA RAIZE
TOYOTA,LANDCRUISER 250,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13810,13810,BLACK,,2800,11515,202411.0,JAPAN,0,,2024,TOYOTA LANDCRUISER 250
TOYOTA,FIELDER,N/A,09687,09687,BLACK,,1500,112591,201903.0,JAPAN,0,,2019,TOYOTA FIELDER
TOYOTA,ESQUIRE,N/A,80592,80592,PEARL,,2000,103559,202012.0,JAPAN,0,,2020,TOYOTA ESQUIRE
NISSAN,NOTE,N/A,42103,42103,GREY,,1200,106532,201910.0,JAPAN,0,,2019,NISSAN NOTE
VOLKSWAGEN,GOLF,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",94940,94940,BLUE,,2000,142069,201912.0,JAPAN,0,,2019,VOLKSWAGEN GOLF
MERCEDEZ BENZ,G63,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",33724,33724,PEARL,,4000,17048,201912.0,JAPAN,0,,2019,MERCEDEZ BENZ G63
SUBARU,IMPREZA,"{'grade_uuid': 'a07ed516-501d-4ea7-9ca1-63fbee33902f', 'grade': 'XV'}",93795,93795,SILVER,,2000,94433,201901.0,JAPAN,0,,2019,SUBARU IMPREZA
SUZUKI,ALTO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",59846,59846,WHITE,,660,72273,202010.0,JAPAN,0,,2020,SUZUKI ALTO
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",52953,52953,WHITE,,1500,148729,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
